Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Shigella flexneri		strain: PNUSAE021891	623	PDT000457389.2	GCA_014100955.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	27601	4492448	2024-07-19	4589	PRJNA218110	SAMN10853583
Shigella flexneri 1c		isolate: MH150085	1935181	PDT000943568.2	GCA_017188355.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26076	4504636	2024-07-19	4596	PRJNA514245	SAMEA70027918
Shigella flexneri 2a		isolate: MH150072	42897	PDT000943564.2	GCA_017188415.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28419	4522653	2024-07-19	4593	PRJNA514245	SAMEA56764168
Shigella flexneri 1c		isolate: MH150057	1935181	PDT000943558.2	GCA_017188495.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26652	4501919	2024-07-19	4587	PRJNA514245	SAMEA56758918
Shigella flexneri 2a		isolate: MH150046	42897	PDT000943557.2	GCA_017188535.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28669	4537026	2024-07-19	4624	PRJNA514245	SAMEA56758168
Shigella flexneri		strain: PNUSAE114574	623	PDT001425573.2	GCA_025315895.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33546	4296786	2023-02-01	4372	PRJNA218110	SAMN30928697
Shigella flexneri		strain: PNUSAE114590	623	PDT001425571.2	GCA_025315935.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32634	4435455	2023-02-01	4505	PRJNA218110	SAMN30928694
Shigella flexneri		strain: PNUSAE114581	623	PDT001425567.2	GCA_025316035.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34445	4350304	2023-02-01	4410	PRJNA218110	SAMN30928700
Shigella flexneri		strain: PNUSAE114586	623	PDT001425563.2	GCA_025316075.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34288	4353707	2023-02-01	4418	PRJNA218110	SAMN30928696
Shigella flexneri		strain: PNUSAE114580	623	PDT001425562.2	GCA_025316115.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32634	4426973	2023-02-01	4503	PRJNA218110	SAMN30928695
Shigella flexneri		strain: PNUSAE114579	623	PDT001425565.2	GCA_025316135.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32634	4218105	2023-02-01	4286	PRJNA218110	SAMN30928688
Shigella flexneri		strain: PNUSAE114593	623	PDT001425559.2	GCA_025316195.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31689	4429765	2023-02-01	4513	PRJNA218110	SAMN30928699
Shigella flexneri		strain: PNUSAE114578	623	PDT001425554.2	GCA_025316295.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32143	4413667	2023-02-01	4501	PRJNA218110	SAMN30928701
Shigella flexneri		strain: PNUSAE114576	623	PDT001425553.2	GCA_025316315.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33535	4467860	2023-02-01	4539	PRJNA218110	SAMN30928683
Shigella flexneri		strain: PNUSAE114585	623	PDT001425551.2	GCA_025316335.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29329	4388989	2023-02-01	4457	PRJNA218110	SAMN30928684
Shigella flexneri		strain: PNUSAE114572	623	PDT001425552.2	GCA_025316355.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29418	4378992	2023-02-01	4461	PRJNA218110	SAMN30928686
Shigella flexneri		strain: 1802727	623	PDT001555187.1	GCA_027502775.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26934	4388663	2023-01-02	4442	PRJNA315192	SAMN32519944
Shigella flexneri		strain: 1802757	623	PDT001555189.1	GCA_027502825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29799	4439404	2023-01-02	4500	PRJNA315192	SAMN32519946
Shigella flexneri		strain: 1802768	623	PDT001555179.1	GCA_027502945.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31191	4253002	2023-01-02	4283	PRJNA315192	SAMN32519935
