Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Escherichia coli str. K-12 substr. MG1655		strain: K-12 substr. MG1655	511145	ASM584v2	GCA_000005845.2	GenBank	Annotation submitted by Univ. Wisconsin	Complete Genome	4641652	4641652	2013-09-26	4639	PRJNA225	SAMN02604091
Escherichia coli O157:H7 str. EDL933		strain: EDL933	155864	ASM666v1	GCA_000006665.1	GenBank	Annotation submitted by Univ. Wisconsin	Chromosome	3798696	5620522	2004-12-06	5579	PRJNA259	SAMN02604092
Escherichia coli CFT073		strain: CFT073	199310	ASM744v1	GCA_000007445.1	GenBank	Annotation submitted by Univ. Wisconsin	Complete Genome	5231428	5231428	2002-12-06	5589	PRJNA313	SAMN02604094
Escherichia coli O157:H7 str. Sakai		strain: Sakai substr. RIMD 0509952	386585	ASM886v2	GCA_000008865.2	GenBank	Annotation submitted by GIRC	Complete Genome	5498578	5594605	2018-06-08	5375	PRJNA226	SAMN01911278
Escherichia coli BL21(DE3)		strain: BL21(DE3)	469008	ASM956v1	GCA_000009565.2	GenBank	Annotation submitted by Austrian Center for Biopharmaceutical Technology	Complete Genome	4558947	4558947	2010-12-09	4424	PRJEA28965	SAMEA2272558
Escherichia coli str. K-12 substr. W3110		strain: K-12 substr. W3110	316407	ASM1024v1	GCA_000010245.1	GenBank	Annotation submitted by Nara Institute of Science and Technology	Complete Genome	4646332	4646332	2006-01-23	4382	PRJNA16351	SAMD00061081
Escherichia coli SE11		strain: SE11	409438	ASM1038v1	GCA_000010385.1	GenBank	Annotation submitted by Kitasato Institute for Life Sciences	Complete Genome	4887515	5155626	2008-10-22	5109	PRJNA18057	SAMD00061087
Escherichia coli SE15		strain: SE15	431946	ASM1048v1	GCA_000010485.1	GenBank	Annotation submitted by Kitasato University	Complete Genome	4717338	4839683	2009-12-14	4594	PRJDA19053	SAMD00060923
Escherichia coli O103:H2 str. 12009		strain: 12009	585395	ASM1074v1	GCA_000010745.1	GenBank	Annotation submitted by University of Tokyo, Graduate School of Frontier Sciences	Complete Genome	5449314	5524860	2009-09-10	5547	PRJDA32511	SAMD00060956
Escherichia coli O111:H- str. 11128		strain: 11128	585396	ASM1076v1	GCA_000010765.1	GenBank	Annotation submitted by University of Tokyo, Graduate School of Frontier Sciences	Complete Genome	5371077	5766081	2009-09-10	5937	PRJDA32513	SAMD00060957
Escherichia coli UTI89		strain: UTI89	364106	ASM1326v1	GCA_000013265.1	GenBank	Annotation submitted by Washington University (WashU)	Complete Genome	5065741	5179971	2006-04-05	5321	PRJNA16259	SAMN00000110
Escherichia coli 536		strain: 536	362663	ASM1330v1	GCA_000013305.1	GenBank	Annotation submitted by University of Goettingen	Complete Genome	4938920	4938920	2006-07-13	4789	PRJNA16235	SAMN02604181
Escherichia coli APEC O1		strain: APEC O1	405955	ASM1484v1	GCA_000014845.1	GenBank	Annotation submitted by Iowa State University	Complete Genome	5082025	5497653	2006-10-04	4983	PRJNA16718	SAMN02603424
Escherichia coli O139:H28 str. E24377A		strain: E24377A	331111	ASM1774v1	GCA_000017745.1	GenBank	Annotation submitted by TIGR	Complete Genome	4979619	5249288	2007-09-11	5263	PRJNA13960	SAMN02604038
Escherichia coli HS		strain: HS	331112	ASM1776v1	GCA_000017765.1	GenBank	Annotation submitted by TIGR	Complete Genome	4643538	4643538	2007-09-10	4636	PRJNA13959	SAMN02604037
Escherichia coli B str. REL606		strain: REL606	413997	ASM1798v1	GCA_000017985.1	GenBank	Annotation submitted by International E. coli B Consortium	Complete Genome	4629812	4629812	2009-07-15	4383	PRJNA18281	SAMN02603421
Escherichia coli ATCC 8739		strain: ATCC 8739	481805	ASM1938v1	GCA_000019385.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	4746218	4746218	2008-03-11	4409	PRJNA18083	SAMN02598405
Escherichia coli str. K-12 substr. DH10B		strain: K-12 substr. DH10B	316385	ASM1942v1	GCA_000019425.1	GenBank	Annotation submitted by University of Wisconsin-Madison	Complete Genome	4686137	4686137	2008-03-14	4357	PRJNA20079	SAMN02604262
Escherichia coli SMS-3-5		strain: SMS-3-5	439855	ASM1964v1	GCA_000019645.1	GenBank	Annotation submitted by TIGR	Complete Genome	5068389	5215377	2008-03-20	5128	PRJNA19469	SAMN02604066
Escherichia coli O157:H7 str. EC4115		strain: EC4115	444450	ASM2112v1	GCA_000021125.1	GenBank	Annotation submitted by J. Craig Venter Institute	Complete Genome	5572075	5704171	2008-10-08	6066	PRJNA27739	SAMN02603441
Escherichia coli O157:H7 str. TW14359		strain: TW14359	544404	ASM2222v1	GCA_000022225.1	GenBank	Annotation submitted by University of Washington	Complete Genome	5528136	5622737	2009-07-23	5596	PRJNA30045	SAMN02604255
Escherichia coli BW2952		strain: K-12 substr. BW2952	595496	ASM2234v1	GCA_000022345.1	GenBank	Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University	Complete Genome	4578159	4578159	2009-06-04	4268	PRJNA33775	SAMN02603900
Escherichia coli BL21(DE3)		strain: BL21(DE3)	469008	ASM2266v1	GCA_000022665.2	GenBank	Annotation submitted by Korea Research Institute of Bioscience and Biotechnology	Complete Genome	4558953	4558953	2010-05-17	4439	PRJNA20713	SAMN02603478
Escherichia coli DH1		strain: DH1	536056	ASM2336v1	GCA_000023365.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	4630707	4630707	2009-10-05	4375	PRJNA30031	SAMN02598470
Escherichia coli 'BL21-Gold(DE3)pLysS AG'		strain: BL21-Gold(DE3)pLysS AG	866768	ASM2366v1	GCA_000023665.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	4570938	4570938	2009-07-09	4440	PRJNA30681	SAMN00002656
Escherichia coli O55:H7 str. CB9615		strain: CB9615	701177	ASM2516v1	GCA_000025165.1	GenBank	Annotation submitted by Nankai University	Complete Genome	5386352	5452353	2010-03-08	5371	PRJNA42729	SAMN02603636
Escherichia coli IHE3034		strain: IHE3034	714962	ASM2574v1	GCA_000025745.1	GenBank	Annotation submitted by IGS	Complete Genome	5108383	5108383	2010-04-12	4970	PRJNA43693	SAMN02603334
Escherichia coli 55989		strain: 55989	585055	ASM2624v1	GCA_000026245.1	GenBank	Annotation submitted by Institut Pasteur and Genoscope	Complete Genome	5154862	5154862	2008-12-18	5145	PRJNA33413	SAMEA3138229
Escherichia coli IAI1		strain: IAI1	585034	ASM2626v1	GCA_000026265.1	GenBank	Annotation submitted by Genoscope	Complete Genome	4700560	4700560	2008-12-18	4640	PRJNA33373	SAMEA3138230
Escherichia coli S88		strain: S88	585035	ASM2628v2	GCA_000026285.2	GenBank	Annotation submitted by Genoscope	Complete Genome	5032268	5166121	2008-12-18	5196	PRJNA33375	SAMEA3138231
Escherichia coli ED1a		strain: ED1a	585397	ASM2630v1	GCA_000026305.1	GenBank	Annotation submitted by Genoscope	Chromosome	3156092	5209548	2008-12-18	5326	PRJNA33409	SAMEA3138232
Escherichia coli UMN026		strain: UMN026	585056	ASM2632v2	GCA_000026325.2	GenBank	Annotation submitted by Genoscope	Chromosome	5202090	5358200	2008-12-18	5301	PRJNA33415	SAMEA3138233
Escherichia coli IAI39		strain: IAI39	585057	ASM2634v1	GCA_000026345.1	GenBank	Annotation submitted by Genoscope	Complete Genome	5132068	5132068	2008-12-18	5099	PRJNA33411	SAMEA3138234
Escherichia coli O127:H6 str. E2348/69		strain: E2348/69	574521	ASM2654v1	GCA_000026545.1	GenBank	Annotation submitted by Sanger Institute	Complete Genome	4965553	5069678	2008-11-26	5154	PRJEA32571	SAMEA1705959
Escherichia coli 042		strain: 042	216592	ASM2712v1	GCA_000027125.1	GenBank	Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	5241977	5355323	2010-01-28	5035	PRJEA40647	SAMEA2272277
Escherichia coli O26:H11 str. 11368		strain: 11368	573235	ASM9100v1	GCA_000091005.1	GenBank	Annotation submitted by University of Tokyo, Graduate School of Frontier Sciences	Complete Genome	5697240	5855531	2009-09-10	5991	PRJDA32509	SAMD00060955
Escherichia coli str. K-12 substr. MG1655star		strain: K-12 substr. MG1655star	879462	ASM14673v1	GCA_000146735.1	GenBank		Chromosome	191581	4639637	2010-09-03		PRJNA51747	SAMN02471201
Escherichia coli ABU 83972		strain: ABU 83972	655817	ASM14836v1	GCA_000148365.1	GenBank	Annotation submitted by Georg-August-University Goettingen	Complete Genome	5131397	5132961	2010-09-22	4906	PRJNA38725	SAMN02603258
Escherichia coli UM146		strain: UM146	869729	ASM14860v1	GCA_000148605.1	GenBank	Annotation submitted by MBRI	Complete Genome	4993013	5107563	2010-09-24	4891	PRJNA50883	SAMN00017915
Escherichia coli O157:H7 str. TW14588		strain: TW14588	502346	ASM15512v1	GCA_000155125.1	GenBank	Annotation submitted by J Craig Venter Institute	Chromosome	1308668	5671197	2009-02-19	6011	PRJNA28847	SAMN02436234
Escherichia coli TW10598		strain: TW10598	913091	ASM16653v3	GCA_000166535.3	GenBank	Annotation submitted by Institute for Genome Sciences	Chromosome	4870513	5094491	2017-05-18	5027	PRJNA59743	SAMN02436015
Escherichia coli E110019		strain: E110019	340186	ASM16787v2	GCA_000167875.2	GenBank		Complete Genome	5249232	5445710	2019-07-30		PRJNA15578	SAMN02435896
Escherichia coli O83:H1 str. NRG 857C		strain: NRG 857C	685038	ASM18334v1	GCA_000183345.1	GenBank	Annotation submitted by Public Health Agency of Canada Laboratory for Foodborne Zoonoses	Complete Genome	4747819	4894879	2010-11-30	4690	PRJNA41221	SAMN02603727
Escherichia coli W		strain: W	566546	ASM18418v1	GCA_000184185.1	GenBank	Annotation submitted by AIBN/KRIBB	Complete Genome	4900968	5008864	2010-12-14	4880	PRJNA48011	SAMN02602978
Escherichia coli ETEC H10407		strain: ETEC H10407	316401	ASM21047v1	GCA_000210475.1	GenBank	Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	5153435	5325888	2010-10-21	4974	PRJEA42749	SAMEA2272237
Escherichia coli UMNK88		strain: UMNK88	696406	ASM21271v2	GCA_000212715.2	GenBank	Annotation submitted by University of Minnesota	Complete Genome	5186416	5666764	2011-05-09	5755	PRJNA42137	SAMN02604221
Escherichia coli PCN033		strain: PCN033	1001989	ASM21951v3	GCA_000219515.3	GenBank	Annotation submitted by Chinese National Human Genome Center at Shanghai	Complete Genome	4987957	5156873	2015-06-08	5230	PRJNA64999	SAMN02469619
